# h,k,l,I,err
9.750000000000001998e-01,9.749999999999999778e-01,0.000000000000000000e+00,1.535567738692691919e-01,3.728481308150068466e-03
9.782214511625190179e-01,9.782214511625186848e-01,0.000000000000000000e+00,1.475329804792414323e-01,3.654618418498822938e-03
9.814429023250378359e-01,9.814429023250376138e-01,-1.387778780781445676e-17,1.567764089996598054e-01,3.767366198243722944e-03
9.846643534875565429e-01,9.846643534875562098e-01,0.000000000000000000e+00,1.663566332982399365e-01,3.880766760791006485e-03
9.878858046500753609e-01,9.878858046500751389e-01,0.000000000000000000e+00,1.932160307282662359e-01,4.182337332947215318e-03
9.911072558125941789e-01,9.911072558125939569e-01,-2.775557561562891351e-17,1.984523311097333709e-01,4.238630734592339390e-03
9.943287069751129970e-01,9.943287069751127749e-01,0.000000000000000000e+00,2.056867380417532198e-01,4.315196987915924723e-03
9.975501581376319260e-01,9.975501581376315929e-01,0.000000000000000000e+00,2.202409531919841401e-01,4.465257612611382015e-03
1.000771609300150633e+00,1.000771609300150189e+00,0.000000000000000000e+00,2.051945442848946977e-01,4.310030915584157386e-03
1.003993060462669451e+00,1.003993060462669229e+00,2.775557561562891351e-17,2.144368103852656027e-01,4.406026956981927249e-03
1.007214511625188269e+00,1.007214511625188047e+00,0.000000000000000000e+00,4.673269329479219358e-01,6.504409658612710435e-03
1.010435962787706865e+00,1.010435962787706865e+00,0.000000000000000000e+00,1.333268198598955623e+00,1.098642108974998491e-02
1.013657413950225905e+00,1.013657413950225683e+00,0.000000000000000000e+00,2.972982175903550850e+00,1.640565722495622783e-02
1.016878865112744723e+00,1.016878865112744501e+00,0.000000000000000000e+00,4.580070790003525794e+00,2.036261620897765814e-02
1.020100316275263319e+00,1.020100316275263097e+00,0.000000000000000000e+00,6.725630672700937396e+00,2.467538787285428886e-02
1.023321767437782137e+00,1.023321767437782137e+00,0.000000000000000000e+00,8.053204068135393356e+00,2.700112333976524212e-02
1.026543218600301177e+00,1.026543218600300733e+00,-2.775557561562891351e-17,7.775009828699872116e+00,2.653065388513910217e-02
1.029764669762819995e+00,1.029764669762819551e+00,0.000000000000000000e+00,5.988204827672858777e+00,2.328336809262816082e-02
1.032986120925338813e+00,1.032986120925338591e+00,0.000000000000000000e+00,3.524444781326348863e+00,1.786252443597023329e-02
1.036207572087857409e+00,1.036207572087857187e+00,0.000000000000000000e+00,1.542790011029695263e+00,1.181818787469007988e-02
1.039429023250376449e+00,1.039429023250376005e+00,0.000000000000000000e+00,4.879934049853001943e-01,6.646675201581310997e-03
1.042650474412895045e+00,1.042650474412894823e+00,-2.775557561562891351e-17,2.349032680880903667e-01,4.611497845000294554e-03
1.045871925575413863e+00,1.045871925575413641e+00,0.000000000000000000e+00,1.844517656157382279e-01,4.086381307077360109e-03
1.049093376737932681e+00,1.049093376737932681e+00,-2.775557561562891351e-17,1.883622775743626632e-01,4.129471252356834224e-03
1.052314827900451499e+00,1.052314827900451277e+00,-2.775557561562891351e-17,1.733413707536040904e-01,3.961399056797908387e-03
1.055536279062970317e+00,1.055536279062970095e+00,0.000000000000000000e+00,1.562448739587932456e-01,3.760974333066438406e-03
1.058757730225489135e+00,1.058757730225488913e+00,0.000000000000000000e+00,1.651530490809170471e-01,3.866702672834407620e-03
1.061979181388007953e+00,1.061979181388007731e+00,2.775557561562891351e-17,1.711949398345961049e-01,3.936796286834931893e-03
1.065200632550526771e+00,1.065200632550526549e+00,0.000000000000000000e+00,1.613773159588130224e-01,3.822246789460050347e-03
1.068422083713045589e+00,1.068422083713045367e+00,-2.775557561562891351e-17,1.496147093167267961e-01,3.680311910101292418e-03
1.071643534875564407e+00,1.071643534875564185e+00,0.000000000000000000e+00,1.414729444836372585e-01,3.578773203615288195e-03
1.074864986038083003e+00,1.074864986038083003e+00,0.000000000000000000e+00,1.368623765433471806e-01,3.519974514326615084e-03
